k_folds,norm,average test loss,average train loss:,,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,,average test loss,,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,,average train loss:
9,z_score,10.42857143,45.9047619,,15,11,9,11,11,8,11,10,11,9,11,11,10,11,11,11,11,9,9,10,9,,10.42857143,,74,40,44,50,38,52,44,44,45,46,43,38,47,42,42,46,42,43,48,41,55,,45.9047619
9,none,17.52380952,70.14285714,,18,32,12,22,22,19,16,9,5,22,15,22,10,23,12,22,8,22,22,23,12,,17.52380952,,60,131,57,79,81,74,53,56,41,81,65,81,39,81,59,79,54,78,81,85,58,,70.14285714
10,min_max,15.47619048,73.38095238,,13,17,14,16,17,18,16,16,17,15,14,18,13,13,17,12,12,17,18,16,16,,15.47619048,,66,79,66,82,84,84,75,84,77,66,73,85,59,58,85,63,57,83,85,70,60,,73.38095238
10,z_score,10.23809524,44.52380952,,8,10,10,10,10,11,14,9,10,12,9,11,12,10,11,10,9,9,12,9,9,,10.23809524,,42,42,48,40,47,49,46,41,40,39,47,44,42,41,41,44,48,50,42,50,52,,44.52380952
10,none,16.76190476,64.19047619,,10,10,22,22,20,14,18,21,23,16,15,8,21,22,22,7,17,12,20,15,17,,16.76190476,,51,46,81,66,75,59,72,78,76,64,58,58,61,80,80,42,45,45,72,71,68,,64.19047619
11,min_max,15.04761905,67.61904762,,13,17,18,12,15,12,19,19,14,10,17,13,14,17,14,13,17,13,17,16,16,,15.04761905,,63,81,69,64,60,66,68,75,54,51,77,71,61,83,60,59,75,60,79,60,84,,67.61904762
11,z_score,9.857142857,43.71428571,,10,9,9,10,9,11,8,10,10,9,11,11,8,12,11,9,10,9,10,12,9,,9.857142857,,38,43,43,52,49,37,42,48,60,45,40,42,47,40,40,47,43,43,39,39,41,,43.71428571
11,none,16.57142857,66.71428571,,22,10,18,22,12,20,11,7,21,20,22,10,13,15,22,24,13,19,15,22,10,,16.57142857,,80,54,58,80,59,85,47,38,74,75,79,51,73,66,73,84,53,74,71,81,46,,66.71428571
12,min_max,14.47619048,68.04761905,,16,13,12,15,10,13,15,13,16,15,13,14,14,10,16,17,17,20,12,17,16,,14.47619048,,59,64,64,63,51,67,70,57,81,67,66,57,68,60,84,84,79,78,64,73,73,,68.04761905
12,z_score,9.761904762,42.28571429,,10,10,10,10,11,11,7,9,8,10,8,9,10,11,10,11,10,9,10,11,10,,9.761904762,,42,40,46,43,42,45,43,42,47,43,41,39,40,51,39,39,40,42,40,43,41,,42.28571429
