k_folds,norm,average test loss,average train loss:,,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,,average test loss,,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,,average train loss:
40,none,12.5,56.05,,13,13,18,15,22,6,10,9,21,12,5,11,11,7,12,14,,4,13,13,21,,12.5,,59,56,73,67,80,47,40,46,69,55,53,37,41,46,50,67,,43,55,60,77,,56.05
41,min_max,14.85,68.25,,12,17,18,17,17,17,13,17,17,17,14,16,13,12,14,17,,14,12,11,12,,14.85,,63,71,72,78,73,73,60,75,74,72,63,73,60,66,68,84,,63,66,55,56,,68.25
41,z_score,9.95,40.8,,11,11,12,9,9,10,10,9,11,10,11,9,9,12,11,9,,8,9,9,10,,9.95,,38,38,39,44,40,38,38,42,41,39,44,43,41,45,38,41,,42,41,45,39,,40.8
41,none,13.9,59.4,,21,16,13,19,10,7,21,7,18,11,12,22,12,11,8,21,,11,14,12,12,,13.9,,78,65,57,73,52,46,79,48,67,42,54,79,56,53,54,73,,48,53,48,63,,59.4
42,min_max,14.75,67.1,,13,13,17,15,12,14,14,13,16,13,17,13,17,18,17,12,,14,17,17,13,,14.75,,62,60,73,70,59,67,60,57,69,68,75,66,71,84,72,66,,54,68,75,66,,67.1
42,z_score,10.1,41.1,,9,10,9,9,9,11,9,10,11,11,11,11,11,9,9,11,,10,11,10,11,,10.1,,45,43,39,42,38,40,42,39,41,41,43,44,40,42,42,38,,44,40,38,41,,41.1
42,none,12.35,56.9,,11,11,6,20,10,16,15,4,12,22,21,8,21,11,14,15,,11,8,5,6,,12.35,,55,39,49,74,45,62,64,42,63,75,74,57,72,53,66,59,,51,55,44,39,,56.9
43,min_max,14.35,67.1,,13,14,14,17,13,14,13,17,14,12,15,12,17,12,17,17,,15,15,13,13,,14.35,,61,68,71,81,58,67,64,74,71,56,69,57,78,66,69,74,,65,70,57,66,,67.1
43,z_score,9.95,41.5,,12,10,10,11,10,10,10,10,10,12,9,9,10,11,8,9,,9,10,10,9,,9.95,,45,39,38,38,38,39,38,44,46,40,41,43,42,41,45,42,,46,39,42,44,,41.5
43,none,10.2,50.75,,12,14,11,12,12,7,10,9,12,7,10,10,8,12,8,12,,7,12,7,12,,10.2,,46,67,41,57,42,48,53,43,56,47,42,53,38,50,61,58,,47,50,57,59,,50.75
44,min_max,14.7,68.3,,13,15,13,14,14,16,15,17,14,14,16,12,18,14,12,12,,18,18,17,12,,14.7,,60,71,62,72,59,68,66,85,62,59,75,62,84,61,65,66,,81,75,77,56,,68.3
44,z_score,9.8,41.1,,10,11,11,10,10,10,10,9,8,9,9,11,9,11,10,9,,9,10,11,9,,9.8,,39,39,39,39,47,39,42,40,47,39,42,41,42,42,43,44,,41,38,39,40,,41.1
44,none,13.15,56.95,,12,21,10,5,20,7,21,21,12,17,9,6,8,7,22,6,,11,12,21,15,,13.15,,56,74,56,44,68,40,75,78,50,66,46,37,38,46,81,45,,42,53,78,66,,56.95
45,min_max,14.7,68.1,,18,17,14,12,18,13,17,13,14,17,13,12,14,13,17,12,,14,13,16,17,,14.7,,81,69,70,61,79,57,73,60,59,71,67,65,70,58,84,58,,67,57,72,84,,68.1
45,z_score,9.85,40.7,,11,11,10,11,9,10,11,9,10,9,10,10,7,10,11,10,,9,10,11,8,,9.85,,41,40,42,41,45,42,37,40,38,42,39,39,44,39,40,40,,39,38,41,47,,40.7
45,none,12.3,54.1,,15,21,10,8,13,13,10,11,8,8,12,20,11,12,12,5,,14,12,20,11,,12.3,,58,73,53,35,53,66,45,54,63,35,48,63,41,55,56,54,,60,49,77,44,,54.1
46,min_max,15.05,69.05,,17,15,14,13,17,18,11,17,17,17,17,13,11,13,18,12,,18,14,13,16,,15.05,,78,69,65,60,78,84,67,73,70,75,73,63,52,63,81,67,,78,65,51,69,,69.05
46,z_score,9.9,40,,10,10,10,11,10,9,11,9,8,10,11,9,11,9,10,10,,10,9,11,10,,9.9,,38,38,41,40,40,46,37,45,42,38,40,43,39,39,41,39,,37,37,39,41,,40
46,none,12.75,57.1,,12,10,18,12,7,15,10,21,20,5,19,11,6,18,11,12,,9,11,21,7,,12.75,,57,38,77,54,47,64,48,78,79,37,74,54,43,73,47,52,,49,49,78,44,,57.1
47,min_max,15.65,70.45,,13,18,18,17,12,16,16,18,16,17,13,14,13,17,17,14,,18,17,17,12,,15.65,,57,76,86,74,54,70,71,83,74,72,67,60,58,79,73,67,,76,84,75,53,,70.45
47,z_score,9.6,40.9,,9,8,12,11,9,9,9,9,9,9,8,9,10,11,10,10,,9,9,11,11,,9.6,,42,40,38,40,41,44,39,40,42,41,47,43,40,38,42,39,,39,41,43,39,,40.9
47,none,12.75,54.8,,9,12,16,13,7,20,12,22,16,4,4,16,9,14,11,7,,17,11,23,12,,12.75,,36,49,64,48,50,73,39,74,67,43,39,69,36,61,54,41,,72,53,78,50,,54.8
48,min_max,15.1,68.8,,17,14,13,13,17,15,17,12,14,14,12,16,17,18,18,13,,16,12,17,17,,15.1,,76,59,65,57,79,68,74,56,66,62,57,71,77,78,86,62,,70,64,71,78,,68.8
48,z_score,9.45,41.1,,9,8,9,11,7,11,10,9,10,10,9,9,10,8,10,9,,10,10,11,9,,9.45,,44,42,45,39,42,38,41,41,41,37,39,39,42,45,45,42,,39,39,40,42,,41.1
48,none,12.95,55.35,,15,6,13,5,22,13,11,19,11,9,13,14,12,12,21,9,,18,10,10,16,,12.95,,71,47,39,45,80,55,46,71,56,43,63,63,52,41,78,40,,64,44,41,68,,55.35
49,min_max,14.95,67.75,,17,17,13,15,17,13,17,14,17,12,14,13,13,18,17,12,,18,13,13,16,,14.95,,75,78,61,73,74,56,77,63,71,58,68,58,63,74,73,67,,74,58,59,75,,67.75
49,z_score,9.85,41.1,,8,11,10,9,9,10,11,11,10,9,11,11,7,9,9,9,,11,11,10,11,,9.85,,40,41,40,41,44,40,41,40,39,39,39,44,44,47,40,41,,42,41,39,40,,41.1
49,none,11.3,49.6,,11,20,5,11,10,11,10,12,11,14,12,12,23,8,8,11,,7,12,7,11,,11.3,,53,71,43,41,48,47,45,43,41,62,49,46,81,47,46,55,,43,51,40,40,,49.6
50,min_max,15.25,70.75,,13,14,13,11,17,17,16,13,18,17,14,17,18,18,17,13,,15,14,14,16,,15.25,,61,70,61,68,75,74,72,54,84,72,69,84,84,73,83,58,,69,65,66,73,,70.75
50,z_score,10.05,40.05,,10,9,10,11,11,9,10,11,11,10,12,9,11,10,11,9,,9,10,9,9,,10.05,,39,39,39,38,38,44,38,41,39,39,40,40,39,40,40,40,,44,39,40,45,,40.05
50,none,10.45,49.05,,13,9,13,12,9,10,7,12,7,9,9,18,20,16,11,5,,8,4,6,11,,10.45,,48,39,61,46,43,42,46,48,42,45,38,69,76,67,49,45,,41,42,45,49,,49.05
