k_folds,norm,train loss,test loss,,,,,,,train loss,test loss,,,,,,,train loss,test loss,,,,,,,train loss,test loss,,,,,,,train loss,test loss,train loss,test loss,train loss,test loss,train loss,test loss,train loss,test loss
12,min_max,59,16,64,13,64,12,63,15,51,10,67,13,70,15,57,13,81,16,67,15,66,13,57,14,68,14,60,10,84,16,84,17,79,17,78,20,64,12,73,17,73,16
12,z_score,42,10,40,10,46,10,43,10,42,11,45,11,43,7,42,9,47,8,43,10,41,8,39,9,40,10,51,11,39,10,39,11,40,10,42,9,40,10,43,11,41,10
12,none,79,21,77,20,80,22,81,22,56,13,58,13,67,14,82,23,56,12,42,11,79,23,79,22,86,18,81,22,81,22,66,12,46,7,41,10,55,11,72,20,66,21
13,min_max,73,19,55,14,60,16,78,20,85,17,84,17,84,17,84,17,73,17,85,17,61,13,79,17,79,18,77,18,85,17,62,13,84,17,85,17,64,12,74,17,59,16
13,z_score,41,9,40,10,40,10,37,11,46,10,39,11,48,11,42,10,53,9,59,7,43,9,42,10,37,10,40,8,43,10,45,11,42,9,41,9,71,13,41,9,52,11
13,none,79,21,60,12,69,17,80,22,82,24,74,21,124,31,67,13,62,18,39,7,74,17,68,21,53,10,48,10,80,22,51,11,43,9,35,6,85,17,61,18,47,12
14,min_max,60,14,61,17,84,17,58,14,56,14,63,12,57,13,60,12,70,17,56,14,85,17,75,18,80,17,72,17,75,17,84,17,60,13,82,18,63,13,84,18,70,14
14,z_score,45,9,44,9,38,11,43,11,42,11,42,11,39,10,41,10,44,8,42,11,41,10,38,11,48,8,56,10,37,10,40,12,44,12,47,7,37,11,44,9,39,10
14,none,82,17,78,16,51,7,67,14,90,24,51,5,79,18,66,15,68,12,81,23,70,18,72,14,78,22,81,22,63,14,85,23,70,11,55,13,69,21,73,21,81,22
15,min_max,56,13,73,14,84,17,54,12,50,12,55,14,55,13,83,17,76,18,58,12,73,17,59,12,60,13,74,17,67,18,71,16,72,17,53,12,85,17,84,17,66,14
15,z_score,45,12,39,10,47,12,51,8,40,10,44,12,40,10,42,9,40,11,44,9,38,11,49,8,42,10,51,8,48,9,43,11,39,10,44,9,48,9,45,11,38,11
15,none,81,22,48,10,46,10,90,22,40,5,82,23,50,10,58,6,58,14,60,13,80,22,77,19,76,23,47,9,80,22,59,13,72,19,67,18,48,14,67,17,40,11
16,min_max,57,14,84,17,55,11,74,17,57,13,77,18,59,13,84,16,83,17,84,18,58,12,87,17,82,17,76,16,75,17,69,15,69,17,78,17,59,14,72,17,62,14
16,z_score,40,10,46,11,37,10,47,8,49,8,40,12,40,11,41,11,41,11,42,10,38,11,41,11,59,11,48,11,42,8,46,9,42,11,42,7,46,12,38,9,41,10
16,none,70,19,36,6,53,12,75,22,79,21,85,23,79,17,43,6,63,13,78,21,34,6,71,18,81,22,69,21,41,12,74,18,89,24,60,17,43,4,61,15,42,11
17,min_max,58,13,69,16,64,16,74,17,56,13,77,19,70,16,69,19,78,18,58,11,62,16,72,16,72,17,61,14,85,18,62,14,76,19,60,13,82,18,55,12,67,14
17,z_score,40,11,51,9,50,7,44,9,43,9,41,10,42,9,45,10,49,8,38,10,44,9,45,11,45,8,40,10,40,9,47,8,42,9,46,10,43,10,39,10,45,9
17,none,48,12,54,11,81,22,55,12,48,12,54,13,53,12,54,11,51,10,67,16,61,16,41,10,75,16,50,12,59,9,65,22,47,11,81,17,40,10,81,22,76,18
18,min_max,72,17,59,13,64,12,71,13,56,10,78,20,86,18,71,14,77,18,86,18,86,17,61,13,66,12,64,17,77,17,59,13,72,17,62,14,77,17,67,11,65,14
18,z_score,52,8,56,10,42,9,42,10,39,11,44,10,40,11,44,9,40,10,48,8,41,10,43,10,55,10,43,8,39,10,44,9,42,9,42,11,42,9,41,12,37,11
18,none,55,13,51,10,34,8,52,13,82,23,70,17,78,22,49,10,45,5,81,22,76,20,73,21,47,12,42,7,77,21,57,19,69,19,55,13,73,18,45,12,40,4
19,min_max,72,16,56,12,58,14,81,17,78,17,69,15,69,16,70,15,72,17,83,18,59,12,86,17,53,11,69,15,59,14,59,16,72,15,73,18,74,18,86,17,54,13
19,z_score,42,11,40,11,44,9,42,10,45,12,45,8,41,10,42,10,45,10,44,9,42,10,46,8,49,11,40,9,46,11,43,9,44,9,45,11,41,9,42,10,40,10
19,none,72,20,81,22,46,12,42,12,44,7,51,10,38,10,72,20,67,16,77,21,44,10,50,12,81,22,74,22,74,15,59,14,46,11,37,11,54,10,56,9,70,19
20,min_max,50,10,61,12,67,17,62,12,51,10,64,13,61,13,62,13,55,11,74,18,77,17,57,14,70,16,57,15,74,17,57,14,84,16,83,16,70,16,68,12,59,12
20,z_score,39,9,39,9,42,11,43,12,38,11,41,11,50,11,49,11,40,10,39,10,38,11,42,9,38,11,39,11,43,11,41,9,40,12,37,11,38,11,41,10,43,12
20,none,60,12,44,5,50,12,45,10,81,23,78,21,38,11,77,16,76,22,41,6,73,20,62,16,80,22,73,19,79,21,46,15,66,16,72,20,47,11,78,21,40,4
21,min_max,71,16,76,18,71,19,59,12,78,17,52,13,57,13,85,18,74,17,60,12,73,18,72,16,77,19,84,17,72,18,58,16,,,57,14,75,17,84,17,70,15
21,z_score,51,8,40,10,41,10,40,11,37,10,43,8,45,10,40,11,43,12,39,11,46,9,41,11,39,11,51,8,39,10,44,9,,,46,10,41,11,47,10,41,10
21,none,79,21,40,7,78,21,74,21,44,11,65,16,56,13,49,7,46,7,73,20,80,22,50,12,83,23,69,21,40,12,64,15,,,79,23,47,9,79,22,79,22
22,min_max,60,12,81,18,59,13,55,13,55,13,51,12,77,17,75,17,73,17,84,17,84,17,83,16,83,16,75,17,83,16,59,14,,,74,17,62,13,70,15,72,14
22,z_score,42,9,40,11,40,11,40,11,49,8,47,11,44,10,43,11,40,11,54,10,45,8,39,11,47,9,39,10,40,10,42,10,,,40,9,50,10,40,11,43,11
22,none,81,22,42,10,40,13,62,11,62,8,81,22,81,22,43,11,65,15,64,20,79,22,79,22,43,12,55,12,77,21,80,21,,,60,18,68,18,74,15,68,21
23,min_max,75,19,73,17,74,17,75,17,75,17,78,17,71,14,71,16,84,17,63,13,54,10,67,11,53,13,71,15,61,14,84,17,,,57,14,61,14,57,10,68,16
23,z_score,41,8,41,10,43,7,42,11,41,10,40,9,42,9,48,11,44,9,41,10,38,11,43,11,40,8,50,9,38,9,44,8,,,49,10,42,9,44,9,41,9
23,none,44,7,42,6,78,21,48,11,73,20,65,17,60,14,52,12,79,22,81,22,40,9,47,11,62,11,42,9,80,22,45,12,,,60,18,45,11,48,11,37,10
24,min_max,49,13,61,14,60,14,73,17,74,15,54,14,78,17,58,14,63,13,65,11,77,16,55,12,75,17,68,12,61,12,75,18,,,69,16,64,13,73,17,59,11
24,z_score,40,10,43,11,40,10,43,11,40,9,43,9,41,11,41,9,41,11,43,9,40,10,40,10,42,8,39,10,43,11,42,11,,,41,8,45,10,43,9,41,10
24,none,71,16,78,21,62,21,64,16,79,21,47,10,81,23,63,14,42,10,80,22,42,8,67,14,42,12,50,10,72,19,53,12,,,63,16,36,6,49,11,66,19
25,min_max,69,16,71,17,74,17,71,16,72,17,79,17,84,17,85,18,64,13,73,17,77,16,75,15,66,16,84,17,59,16,83,18,,,75,17,65,14,78,17,54,13
25,z_score,40,8,42,8,44,9,41,9,42,9,39,10,45,11,39,11,40,10,39,11,42,11,38,11,55,8,40,8,38,11,41,9,,,39,11,39,10,40,11,37,10
25,none,63,15,60,16,67,19,53,11,78,21,75,19,73,20,46,7,73,19,40,10,67,15,46,10,60,14,77,18,111,28,53,12,,,44,11,51,5,41,5,78,21
26,min_max,58,13,53,10,66,11,66,18,66,13,56,12,77,17,85,17,78,17,57,14,69,15,71,14,67,14,75,19,82,18,77,15,,,67,11,69,14,59,14,67,13
26,z_score,46,9,44,9,40,9,43,12,39,11,46,9,39,10,43,11,49,8,39,11,41,10,39,12,38,12,44,9,40,12,44,8,,,47,9,51,11,38,11,40,9
26,none,78,22,71,16,70,17,53,11,40,4,44,9,43,6,48,11,42,10,77,21,41,10,54,12,81,22,45,7,79,18,43,10,,,64,12,52,7,41,7,63,13
27,min_max,55,11,68,15,62,13,62,13,59,14,77,18,66,19,77,17,65,12,78,17,77,17,59,12,78,17,52,10,68,16,57,13,,,75,17,71,16,55,13,58,13
27,z_score,40,10,47,9,49,10,39,11,47,9,46,11,45,9,44,10,48,8,52,10,44,10,45,9,42,9,42,10,41,10,41,9,,,38,10,49,9,42,10,36,10
27,none,62,16,35,9,62,13,72,19,72,16,46,10,52,8,76,19,80,22,62,15,77,21,56,16,38,11,47,8,70,17,77,21,,,72,15,53,10,62,13,78,22
28,min_max,64,12,69,15,57,10,75,17,78,18,69,15,63,16,83,17,72,15,84,17,74,18,60,12,56,13,56,14,55,13,65,13,,,66,14,72,17,68,14,57,13
28,z_score,39,9,45,11,41,10,44,8,37,10,40,12,37,11,46,9,39,11,41,10,37,9,41,9,48,8,40,10,41,9,46,11,,,39,11,40,9,45,9,42,9
28,none,55,11,48,12,75,18,60,12,43,11,43,9,46,10,48,11,51,10,81,22,71,14,67,15,77,21,40,7,50,11,42,9,,,43,7,53,12,35,6,41,9
29,min_max,80,18,60,12,58,14,54,10,60,12,77,18,63,12,52,8,58,14,73,17,75,17,66,11,67,14,81,17,70,14,83,18,,,71,15,77,17,57,13,73,16
29,z_score,41,8,39,10,41,9,42,10,41,10,41,9,48,8,42,9,41,10,41,10,43,10,40,9,41,9,45,9,40,11,41,9,,,39,11,41,9,38,10,41,11
29,none,39,6,73,21,60,14,45,10,66,14,40,7,40,7,68,15,38,11,80,22,58,12,42,9,67,21,46,10,53,5,37,6,,,40,7,66,14,39,10,77,16
30,min_max,73,17,76,18,77,17,59,13,78,17,67,12,77,17,77,17,67,14,68,14,82,17,58,13,75,19,56,13,68,15,73,17,,,57,13,68,15,81,18,67,13
30,z_score,42,11,40,9,49,8,40,10,39,11,42,11,45,8,40,9,43,10,44,9,47,10,44,10,46,11,39,11,39,11,37,10,,,43,11,46,11,43,10,42,10
30,none,76,21,57,12,46,10,57,12,77,20,49,11,62,14,78,22,71,16,53,7,48,7,46,9,48,7,78,22,68,12,45,12,,,36,6,68,14,37,10,67,15
31,min_max,76,17,64,12,77,17,74,17,70,14,61,12,74,19,66,13,61,12,83,16,71,16,68,14,53,10,72,17,81,18,75,16,,,68,12,70,14,73,17,69,15
31,z_score,51,8,44,10,39,10,40,11,41,10,41,11,42,9,38,11,42,11,43,12,41,12,49,10,42,9,40,10,40,11,45,10,,,43,9,37,11,40,10,40,9
31,none,44,12,53,11,79,21,36,8,70,17,56,11,48,7,65,16,79,21,51,12,81,22,40,9,43,9,45,10,45,7,70,18,,,70,21,49,5,61,16,74,22
32,min_max,64,12,57,12,68,15,73,17,71,17,65,14,76,17,73,17,56,14,67,12,56,12,76,17,65,12,80,18,64,14,56,13,,,51,13,60,13,54,11,76,17
32,z_score,47,9,43,11,40,10,41,11,43,9,40,10,38,10,43,9,39,10,46,9,41,8,42,9,41,10,48,10,48,10,39,11,,,43,7,40,9,39,10,44,9
32,none,54,10,43,11,56,13,37,10,48,11,40,7,63,8,77,19,64,16,48,9,74,19,48,10,81,23,62,20,45,10,37,10,,,43,13,34,8,55,12,70,16
33,min_max,64,13,74,17,64,13,84,18,81,17,62,14,54,10,58,14,71,16,72,17,66,12,57,14,66,13,78,18,73,17,61,13,,,60,14,63,17,82,17,83,18
33,z_score,42,9,42,7,45,9,43,9,47,10,40,10,45,11,45,9,40,9,48,9,38,10,42,10,45,13,40,12,42,9,39,10,,,41,10,43,9,39,11,41,10
33,none,44,7,56,12,42,10,76,21,55,10,51,11,65,20,53,12,47,12,54,13,81,22,54,14,45,11,80,22,58,11,36,10,,,60,14,78,19,72,19,38,4
34,min_max,56,13,85,18,62,13,77,18,70,18,57,14,60,14,59,13,58,14,71,17,71,14,73,17,58,13,73,17,62,14,56,12,,,58,12,60,13,61,13,56,13
34,z_score,40,9,53,10,42,9,40,10,37,11,47,9,45,9,41,11,38,11,39,10,37,11,38,11,52,8,40,9,44,12,41,9,,,39,10,40,11,40,10,42,8
34,none,55,8,49,12,52,11,69,17,47,12,41,9,55,12,46,10,61,14,38,5,41,9,43,12,37,10,81,22,50,5,50,11,,,40,7,40,9,60,17,51,7
35,min_max,61,14,54,13,66,14,73,17,65,12,84,17,66,14,82,18,77,17,74,17,65,15,55,12,67,12,72,14,68,13,79,17,,,84,17,80,17,67,11,68,15
35,z_score,41,10,46,8,41,9,38,11,42,8,42,8,40,10,39,10,40,9,38,10,40,10,38,11,38,10,40,9,42,11,43,10,,,42,11,39,11,43,11,42,12
