k_folds,norm,train loss,test loss
45,z_score,38,10,42,9,39,10,39,10
45,none,63,8,35,8,48,12,63,20
46,min_max,70,17,75,17,73,17,63,13
46,z_score,42,8,38,10,40,11,43,9
46,none,79,20,37,5,74,19,54,11
47,min_max,74,16,72,17,67,13,60,14
47,z_score,42,9,41,9,47,8,43,9
47,none,67,16,43,4,39,4,69,16
48,min_max,66,14,62,14,57,12,71,16
48,z_score,41,10,37,10,39,9,39,9
48,none,56,11,43,9,63,13,63,14
49,min_max,71,17,58,12,68,14,58,13
49,z_score,39,10,39,9,39,11,44,11
49,none,41,11,62,14,49,12,46,12
50,min_max,84,18,72,17,69,14,84,17
50,z_score,39,11,39,10,40,12,40,9
50,none,42,7,45,9,38,9,69,18
