k_folds,norm,train loss,test loss
2,min_max,75,13,80,20,82,17,80,21
2,z_score,48,9,71,14,92,19,54,13
2,none,85,19,134,32,153,38,155,43
3,min_max,63,18,74,20,81,17,59,17
3,z_score,58,9,61,9,48,11,55,8
3,none,74,21,90,22,139,39,79,23
4,min_max,54,14,81,17,59,10,80,19
4,z_score,44,11,49,14,54,11,66,11
4,none,105,21,41,10,81,22,82,17
5,min_max,85,18,66,12,64,16,83,17
5,z_score,84,17,48,12,60,7,43,12
5,none,79,21,48,10,78,21,94,24
6,min_max,83,16,84,17,85,17,60,16
6,z_score,44,11,76,15,54,11,58,11
6,none,63,14,46,13,41,12,81,16
7,min_max,63,14,71,12,83,17,74,17
7,z_score,43,10,40,11,52,10,39,12
7,none,78,20,70,20,81,23,65,12
8,min_max,58,16,77,20,73,17,78,19
8,z_score,43,9,52,11,41,8,42,11
8,none,81,22,84,23,69,21,69,13
9,min_max,83,17,77,18,84,17,84,17
9,z_score,38,11,52,8,44,11,44,10
9,none,81,22,74,19,53,16,56,9
10,min_max,84,17,84,18,75,16,84,16
10,z_score,47,10,49,11,46,14,41,9
10,none,75,20,59,14,72,18,78,21
11,min_max,60,15,66,12,68,19,75,19
11,z_score,49,9,37,11,42,8,48,10
11,none,59,12,85,20,47,11,38,7
12,min_max,51,10,67,13,70,15,57,13
12,z_score,42,11,45,11,43,7,42,9
12,none,56,13,58,13,67,14,82,23
13,min_max,85,17,84,17,84,17,84,17
13,z_score,46,10,39,11,48,11,42,10
13,none,82,24,74,21,124,31,67,13
14,min_max,56,14,63,12,57,13,60,12
14,z_score,42,11,42,11,39,10,41,10
14,none,90,24,51,5,79,18,66,15
15,min_max,50,12,55,14,55,13,83,17
15,z_score,40,10,44,12,40,10,42,9
15,none,40,5,82,23,50,10,58,6
16,min_max,57,13,77,18,59,13,84,16
16,z_score,49,8,40,12,40,11,41,11
16,none,79,21,85,23,79,17,43,6
17,min_max,56,13,77,19,70,16,69,19
17,z_score,43,9,41,10,42,9,45,10
17,none,48,12,54,13,53,12,54,11
18,min_max,56,10,78,20,86,18,71,14
18,z_score,39,11,44,10,40,11,44,9
18,none,82,23,70,17,78,22,49,10
19,min_max,78,17,69,15,69,16,70,15
19,z_score,45,12,45,8,41,10,42,10
19,none,44,7,51,10,38,10,72,20
20,min_max,51,10,64,13,61,13,62,13
20,z_score,38,11,41,11,50,11,49,11
20,none,81,23,78,21,38,11,77,16
21,min_max,78,17,52,13,57,13,85,18
21,z_score,37,10,43,8,45,10,40,11
21,none,44,11,65,16,56,13,49,7
22,min_max,55,13,51,12,77,17,75,17
22,z_score,49,8,47,11,44,10,43,11
22,none,62,8,81,22,81,22,43,11
23,min_max,75,17,78,17,71,14,71,16
23,z_score,41,10,40,9,42,9,48,11
23,none,73,20,65,17,60,14,52,12
24,min_max,74,15,54,14,78,17,58,14
24,z_score,40,9,43,9,41,11,41,9
24,none,79,21,47,10,81,23,63,14
25,min_max,72,17,79,17,84,17,85,18
25,z_score,42,9,39,10,45,11,39,11
25,none,78,21,75,19,73,20,46,7
26,min_max,66,13,56,12,77,17,85,17
26,z_score,39,11,46,9,39,10,43,11
26,none,40,4,44,9,43,6,48,11
27,min_max,59,14,77,18,66,19,77,17
27,z_score,47,9,46,11,45,9,44,10
27,none,72,16,46,10,52,8,76,19
28,min_max,78,18,69,15,63,16,83,17
28,z_score,37,10,40,12,37,11,46,9
28,none,43,11,43,9,46,10,48,11
29,min_max,60,12,77,18,63,12,52,8
29,z_score,41,10,41,9,48,8,42,9
29,none,66,14,40,7,40,7,68,15
30,min_max,78,17,67,12,77,17,77,17
30,z_score,39,11,42,11,45,8,40,9
30,none,77,20,49,11,62,14,78,22
31,min_max,70,14,61,12,74,19,66,13
31,z_score,41,10,41,11,42,9,38,11
31,none,70,17,56,11,48,7,65,16
32,min_max,71,17,65,14,76,17,73,17
32,z_score,43,9,40,10,38,10,43,9
32,none,48,11,40,7,63,8,77,19
33,min_max,81,17,62,14,54,10,58,14
33,z_score,47,10,40,10,45,11,45,9
33,none,55,10,51,11,65,20,53,12
34,min_max,70,18,57,14,60,14,59,13
34,z_score,37,11,47,9,45,9,41,11
34,none,47,12,41,9,55,12,46,10
35,min_max,65,12,84,17,66,14,82,18
35,z_score,42,8,42,8,40,10,39,10
35,none,41,9,65,8,49,10,41,7
36,min_max,64,14,65,12,70,17,67,12
36,z_score,41,9,46,9,42,9,39,11
36,none,48,6,51,10,50,10,40,7
37,min_max,55,12,70,17,72,17,68,15
37,z_score,41,10,41,10,40,11,40,12
37,none,77,18,72,21,43,7,65,16
38,min_max,85,17,67,13,59,14,79,17
38,z_score,46,9,39,10,40,10,42,8
