k_folds,norm,eta,train loss,test loss,train loss,test loss,train loss,test loss,train loss,test loss
2,z_score,0.22,8,3,10,4,8,2,13,3
2,z_score,0.23,10,4,9,4,10,3,12,3
2,z_score,0.24,12,4,10,6,10,3,7,5
2,z_score,0.25,9,2,10,2,11,5,8,3
2,z_score,0.26,12,5,15,2,8,3,12,4
2,z_score,0.27,11,5,15,2,8,4,8,3
2,z_score,0.28,11,5,7,4,15,3,16,3
2,z_score,0.29,9,2,15,2,9,2,8,4
2,z_score,0.3,8,4,15,6,12,3,13,4
2,z_score,0.31,9,3,14,4,10,4,10,2
2,z_score,0.32,9,4,9,4,10,4,13,4
2,z_score,0.33,9,4,12,4,10,6,13,3
2,z_score,0.34,9,3,9,5,13,3,7,3
2,z_score,0.35,12,2,7,3,11,2,12,4
2,z_score,0.36,7,4,14,3,11,4,16,3
2,z_score,0.37,12,3,10,3,17,3,14,3
2,z_score,0.38,14,4,11,4,15,3,13,4
2,z_score,0.39,16,3,13,4,9,3,7,4
2,z_score,0.4,14,5,10,3,8,3,14,2
2,z_score,0.41,12,3,12,4,12,4,11,3
2,z_score,0.42,9,4,11,3,10,4,8,6
2,z_score,0.43,10,4,11,4,14,3,12,6
2,z_score,0.44,12,5,10,4,11,3,11,2
2,z_score,0.45,12,3,12,4,12,3,9,4
2,z_score,0.46,7,4,8,4,10,4,12,2
2,z_score,0.47,10,4,15,3,13,5,9,4
2,z_score,0.48,11,2,17,3,15,7,9,5
2,z_score,0.49,10,3,11,2,11,3,13,5
2,z_score,0.5,10,4,8,3,12,6,11,2
2,z_score,0.51,10,4,14,3,8,4,9,3
2,z_score,0.52,12,3,13,2,9,4,9,5
2,z_score,0.53,10,4,12,2,11,3,11,5
2,z_score,0.54,7,3,10,2,7,3,13,3
2,z_score,0.55,15,3,9,6,12,3,12,3
2,z_score,0.56,13,3,9,6,10,4,13,2
2,z_score,0.57,13,3,9,2,11,4,14,6
2,z_score,0.58,13,6,13,3,10,2,9,3
2,z_score,0.59,8,5,6,3,8,3,8,3
2,z_score,0.6,11,6,11,4,11,2,11,4
