k_folds,norm,eta,train loss,test loss
2,min_max,0.01,11,2,24,3,15,3,21,3
2,min_max,0.02,10,4,22,4,14,7,12,6
2,min_max,0.03,15,2,9,4,13,3,16,2
2,min_max,0.04,12,5,12,5,25,9,29,6
2,min_max,0.05,10,4,10,4,18,8,11,5
2,min_max,0.06,22,9,19,3,15,2,13,3
2,min_max,0.07,18,2,21,2,21,9,18,8
2,min_max,0.08,29,6,19,2,16,5,21,7
2,min_max,0.09,11,3,11,3,16,2,20,2
2,min_max,0.1,10,3,19,2,16,10,21,2
2,min_max,0.11,12,5,9,4,10,5,12,2
2,min_max,0.12,21,8,12,4,11,4,13,6
2,min_max,0.13,11,4,18,2,10,5,19,3
2,min_max,0.14,9,4,10,3,18,2,9,4
2,min_max,0.15,13,3,12,4,26,6,14,2
2,min_max,0.16,16,7,11,3,16,3,11,4
2,min_max,0.17,12,6,17,2,12,5,15,2
2,min_max,0.18,29,6,19,7,24,5,14,4
2,min_max,0.19,11,4,15,3,11,2,15,9
2,min_max,0.2,8,4,11,4,9,4,21,3
2,min_max,0.21,14,7,12,5,12,3,9,4
2,min_max,0.22,12,5,21,9,12,2,13,5
2,min_max,0.23,11,4,18,8,17,2,11,3
2,min_max,0.24,16,2,12,5,25,4,11,4
2,min_max,0.25,18,2,12,5,11,3,11,3
2,min_max,0.26,15,3,11,6,13,6,25,5
2,min_max,0.27,12,4,9,4,11,2,19,8
2,min_max,0.28,10,4,14,2,18,2,11,3
2,min_max,0.29,17,2,11,5,21,9,10,4
2,min_max,0.3,11,4,19,2,22,3,13,3
2,min_max,0.31,21,3,21,9,14,3,37,10
2,min_max,0.32,25,5,12,4,13,6,15,2
2,min_max,0.33,9,4,10,4,22,9,9,4
2,min_max,0.34,9,4,10,5,9,4,11,4
2,min_max,0.35,10,4,16,8,18,8,13,6
2,min_max,0.36,23,3,10,4,14,3,13,6
2,min_max,0.37,15,7,24,5,12,6,10,4
